Protein_IDs,Function_or_Complex,Source
O43676,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O95299;O95299-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O75306;O75306-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O95182,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P56556,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P51970,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O43181,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O95167,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O75380,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O95178,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O43677,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P03886,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P03915,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P56181-2,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P03905,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
P03891,Complex I,"Janssen et al, J Inherit Metab Dis, 2006 (PMID: 16838076)"
O14521-2;O14521;O14521-4,Complex II,"Sun et al, Cell, 2005 (PMID: 15989954)"
P31040;P31040-2;P31040-3,Complex II,"Sun et al, Cell, 2005 (PMID: 15989954)"
P21912,Complex II,"Sun et al, Cell, 2005 (PMID: 15989954)"
Q99643,Complex II,"Sun et al, Cell, 2005 (PMID: 15989954)"
O14949,Complex III,"Iwata et al, Science, 1998 (PMID: 9651245)"
P47985,Complex III,"Iwata et al, Science, 1998 (PMID: 9651245)"
P14927,Complex III,"Iwata et al, Science, 1998 (PMID: 9651245)"
P22695,Complex III,"Iwata et al, Science, 1998 (PMID: 9651245)"
P31930,Complex III,"Iwata et al, Science, 1998 (PMID: 9651245)"
P08574,Complex III,"Iwata et al, Science, 1998 (PMID: 9651245)"
P07919,Complex III,"Iwata et al, Science, 1998 (PMID: 9651245)"
O14957,Complex III,"Iwata et al, Science, 1998 (PMID: 9651245)"
Q9UDW1;Q9UDW1-2,Complex III,"Iwata et al, Science, 1998 (PMID: 9651245)"
P00156,Complex III,"Iwata et al, Science, 1998 (PMID: 9651245)"
P13073,Complex IV,"Tsukihara et al, Science, 1996 (PMID: 8638158)"
P09669,Complex IV,"Tsukihara et al, Science, 1996 (PMID: 8638158)"
P20674,Complex IV,"Tsukihara et al, Science, 1996 (PMID: 8638158)"
P10606,Complex IV,"Tsukihara et al, Science, 1996 (PMID: 8638158)"
P00403,Complex IV,"Tsukihara et al, Science, 1996 (PMID: 8638158)"
P10176,Complex IV,"Tsukihara et al, Science, 1996 (PMID: 8638158)"
P15954,Complex IV,"Tsukihara et al, Science, 1996 (PMID: 8638158)"
P24311,Complex IV,"Tsukihara et al, Science, 1996 (PMID: 8638158)"
P14854,Complex IV,"Tsukihara et al, Science, 1996 (PMID: 8638158)"
P14406,Complex IV,"Tsukihara et al, Science, 1996 (PMID: 8638158)"
P00414,Complex IV,"Tsukihara et al, Science, 1996 (PMID: 8638158)"
P00395,Complex IV,"Tsukihara et al, Science, 1996 (PMID: 8638158)"
P12074,Complex IV,"Tsukihara et al, Science, 1996 (PMID: 8638158)"
P99999,Cytochrome C,
O94905,Erlin-2,
Q16134,ETF system,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213); Wang et al, J Biol Chem, 2010 (PMID: 20663895)"
P38117,ETF system,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213); Wang et al, J Biol Chem, 2010 (PMID: 20663895)"
P13804;P13804-2,ETF system,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213); Wang et al, J Biol Chem, 2010 (PMID: 20663895)"
P55084;P55084-2,FAO,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213); Wang et al, J Biol Chem, 2010 (PMID: 20663895)"
P40939,FAO,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213); Wang et al, J Biol Chem, 2010 (PMID: 20663895)"
P42765,FAO,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213); Wang et al, J Biol Chem, 2010 (PMID: 20663895)"
P24752,FAO,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213); Wang et al, J Biol Chem, 2010 (PMID: 20663895)"
P11310;P11310-2,FAO,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213); Wang et al, J Biol Chem, 2010 (PMID: 20663895)"
P45954;P45954-2,FAO,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213); Wang et al, J Biol Chem, 2010 (PMID: 20663895)"
P30084,FAO,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213); Wang et al, J Biol Chem, 2010 (PMID: 20663895)"
Q9H845,FAO,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213); Wang et al, J Biol Chem, 2010 (PMID: 20663895)"
P16219,FAO,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213); Wang et al, J Biol Chem, 2010 (PMID: 20663895)"
P49748-3,FAO,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213); Wang et al, J Biol Chem, 2010 (PMID: 20663895)"
Q16836;Q16836-3;Q16836-2,FAO,"Houten et al, Annu Rev Physiol, 2015 (PMID: 26474213); Wang et al, J Biol Chem, 2010 (PMID: 20663895)"
P55789;P55789-2,MIA,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q8N4Q1;Q8N4Q1-2,MIA,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q5TGZ0,MICOS complex,"Guarani, eLife, 2015 (PMID: 25997101)"
Q9NX63,MICOS complex,"Guarani, eLife, 2015 (PMID: 25997101)"
Q5XKP0,MICOS complex,"Guarani, eLife, 2015 (PMID: 25997101)"
Q9BUR5;Q9BUR5-2,MICOS complex,"Guarani, eLife, 2015 (PMID: 25997101)"
Q9BRQ6,MICOS complex,"Guarani, eLife, 2015 (PMID: 25997101)"
Q16891-2,MICOS complex,"Guarani, eLife, 2015 (PMID: 25997101)"
Q6UXV4,MICOS complex,"Guarani, eLife, 2015 (PMID: 25997101)"
Q9Y6C9,MTCH2,
Q13232,NME3,
Q9H6K4,OPA3,
Q15070,OXA1,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q8TAA5,PAM,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q9HAV7,PAM,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
O43615,PAM,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
P38646,PAM,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
O96011;O96011-2,PEX11B,
Q99623;Q99623-2,PHB_PHB2_SLP2,"Osman et al, J Cell Sci, 2009 (PMID: 19889967)"
Q9UJZ1;Q9UJZ1-2,PHB_PHB2_SLP2,"Da Cruz et al, Biochim Biophys Acta, 2008 (PMID: 18339324), Christie et al, Mol Cell Biol, 2011 (PMID: 21746876)"
P35232,PHB_PHB2_SLP2,"Osman et al, J Cell Sci, 2009 (PMID: 19889967)"
P30048-2;P30048,PRDX3,"Cunniff et al, Redox Biol, 2014 (PMID: 25462069)"
P30044;P30044-3;P30044-4,PRDX5,
Q8IXI2-3;Q8IXI2-2;Q8IXI2-5;Q8IXI2-7;Q8IXI2,RHOT1,
O75431;O75431-2,SAM,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q13505-3;Q13505,SAM,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q9Y512,SAM,"MacKenzie and Payne, Biochim Biophys Acta, 2007 (PMID: 17300922), Bolender et al, EMBO Rep, 2008 (PMID: 18174896), Schmidt et al, Nat Rev Mol Cell Biol, 2010 (PMID: 20729931), Gebert et al, Biochim Biophys Acta, 2011 (PMID: 20696129)"
Q9NTG7,SirT3,"Hebert et al, Mol Cell, 2013 (PMID: 23201123), Vassilopoulos et al, Antioxid Redox Signal, 2014 (PMID: 24252090), Ahn et al, PNAS, 2008 (PMID: 18794531)"
Q9NXA8;Q9NXA8-2;Q9NXA8-3;Q9NXA8-4,SirT5,"Du et al, Science, 2011 (PMID: 22076378), Park et al, Mol Cell, 2013 (PMID: 23806337), Rardin et al, Cell Metab, 2013 (PMID: 24315375), Weinert et al, Cell Rep, 2013 (PMID: 23954790)"
