Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
366,6,0.3048,4.572,44.62,0.07471,0.984681,"Q99575 Q15022 Q9BTC0 P48730-2 Q9Y2U8 Q92667;Q92667-2"
367,4,0.3449,2.070,33.93,0.04703,0.903035,"P78357 P13612 Q16563-2 P09936"
368,3,0.3358,1.007,4.520,0.08738,0.904785,"Q7Z4H8;Q7Z4H8-2;Q7Z4H8-3 Q02127 Q96D46"
369,40,0.3008,234.6,1492,0.1299,1.00000,"Q96ES7 Q16594 Q12789;Q12789-3 Q12830;Q12830-4;Q12830-2 Q86VM9 P38432 Q9UIG0;Q9UIG0-2 Q9H9B1;Q9H9B1-3;Q9H9B1-4 Q9UBD5-2 O43913 O95104;O95104-2;O95104-3 Q7Z3K3-5;Q7Z3K3-2;Q7Z3K3;Q7Z3K3-7;Q7Z3K3-3;Q7Z3K3-6 Q9UHR5-2;Q9UHR5 Q86UE8-2;Q86UE8;Q86UE8-3 Q15047-3;Q15047 Q8IWZ8 P22670 Q96KQ7-2;Q96KQ7 O60563 Q13416 P54278;P54278-3 Q93074-3;Q93074;Q93074-2 Q9UBB9 Q86U86-8;Q86U86;Q86U86-5;Q86U86-7;Q86U86-2;Q86U86-4;Q86U86-9;Q86U86-6 Q6PD62 Q9HCK8;Q9HCK8-2 O60942;O60942-2;O60942-4;O60942-3 Q9H147 O60264 Q9UBW7 P49848;P49848-3;P49848-2 Q8N5C6;Q8N5C6-2 P49711;P49711-2 Q9Y232-2;Q9Y232;Q9Y232-4 Q8WVC0;Q8WVC0-2 Q9Y6X8 O75362 Q07864 Q8NFA0 P49761;P49761-1;P49761-3"
370,6,0.3549,5.323,5.673,0.2315,0.0327761,"P60660 P05976-2;P05976 O14950 P35579;P35579-2 Q01518-2 Q01518"
371,3,0.5752,1.726,3.512,0.1536,0.808633,"P35244 P15927;P15927-2;P15927-3 P27694"
372,4,0.3597,2.158,3.653,0.1563,0.442617,"O00186 P62879 P62873;P62873-2 P04899;P04899-6;P04899-5;P04899-2"
373,5,0.3070,3.070,44.17,0.05364,0.993907,"Q53HL2 Q7Z7K6 Q15596 Q6SJ93;Q6SJ93-2 O15381;O15381-2;O15381-5;O15381-4"
374,6,0.3125,4.688,36.49,0.08816,0.967224,"Q9UIA9 Q9H9Q2;Q9H9Q2-2 Q9UKV8;Q9UKV8-2 Q96T76;Q96T76-8;Q96T76-9;Q96T76-5 Q5VYK3 O60256;O60256-2"
375,8,0.3153,8.829,149.8,0.05057,0.973985,"Q9Y4E6-2;Q9Y4E6 Q8WUK0;Q8WUK0-2 Q9Y697-2 Q96LD8 Q5T160 P46199 Q5JTZ9 Q9Y2Z9-3;Q9Y2Z9"
376,5,0.3137,3.137,21.10,0.09162,0.661948,"Q8TDD1-2 Q99848 Q9GZR7 O00566 Q13601"
377,5,0.3149,3.149,15.93,0.1083,0.952654,"Q9P0P0 Q8WUH1;Q8WUH1-2 Q9BTM9;Q9BTM9-2;Q9BTM9-3 Q9HD15 Q9H074;Q9H074-2"
378,3,0.3374,1.012,7.249,0.07098,0.985452,"Q03701 Q9NR30;Q9NR30-2 Q13823"
379,3,0.3323,0.9970,6.103,0.07611,0.985452,"Q86UK7-2;Q86UK7-3;Q86UK7 O15091;O15091-2;O15091-4 Q92615"
380,4,0.3469,2.081,4.114,0.1466,0.557383,"Q9Y5X3 Q9Y5K6 Q15691 O60749"
381,4,0.3365,2.019,7.683,0.1141,0.943824,"Q5W0V3;Q5W0V3-2 P49593;P49593-2 Q4G0F5 Q96G03"
382,3,0.3476,1.043,1.574,0.1210,0.328953,"P12236 P05141 O95202"
383,3,0.3528,1.058,7.112,0.07469,0.985452,"P42166 Q9BWU0 Q92917"
384,5,0.3087,3.087,23.93,0.08341,0.928164,"Q9BW19 Q14807;Q14807-2 Q07864 Q92547 P53350"
385,7,0.3034,6.372,44.64,0.09801,0.963181,"Q9HC38-2;Q9HC38;Q9HC38-3 P40925-3;P40925;P40925-2 Q9NQR4 P54819 O95630;O95630-2 Q9GZP4;Q9GZP4-2 Q96DB5;Q96DB5-2;Q96DB5-3"
386,4,0.3357,2.014,15.72,0.07828,0.992931,"Q8TBB5;Q8TBB5-3;Q8TBB5-2 Q8NFA0 Q9HCM4-2 Q9BRQ8"
387,3,0.3636,1.091,2.028,0.1196,0.500000,"Q9Y2J2-2;Q9Y2J2-3 P16157-5;P16157-21;P16157-6 P11215;P11215-2"
388,7,0.3348,7.032,46.02,0.1049,0.972358,"P52701;P52701-3;P52701-4;P52701-2 P43246 P49005 P28340 Q15054;Q15054-3 P19793-2 P40692;P40692-3;P40692-2"
389,4,0.3516,2.109,4.085,0.1486,0.235243,"Q15398;Q15398-1 P52732 Q9BZD4 O60566;O60566-3"
390,6,0.3165,4.747,11.19,0.1699,0.287252,"Q15796-2;Q15796 O43432;O43432-3;O43432-4 P84022;P84022-3 Q96II8;Q96II8-4;Q96II8-2;Q96II8-3 Q93100-3;Q93100-4;Q93100;Q93100-2 P11274;P11274-2"
391,5,0.3105,3.105,22.03,0.08838,0.798302,"P61163 P36406-3;P36406-2;P36406 Q9UJW0;Q9UJW0-3;Q9UJW0-2 Q9NZ32 Q13045"
392,7,0.3237,6.797,31.44,0.1301,0.550837,"P09884 O75419-2;O75419;O75419-3 Q8N0T1 Q9NPD8 P04818;P04818-2;P04818-3 Q15004 P56945;P56945-3"
393,5,0.3082,3.082,14.80,0.1106,0.981643,"Q9UL25 Q9NYU2-2;Q9NYU2 Q9NVJ2;Q9NVJ2-2 Q9NVH1;Q9NVH1-2 P49257"
394,4,0.3500,2.100,18.04,0.07463,0.843839,"Q16799 Q15836 O95197-7;O95197-2;O95197;O95197-4 O43149"
395,4,0.3391,2.035,30.77,0.04986,0.843839,"Q4G148-2;Q4G148 Q9UHD2 Q9H5N1;Q9H5N1-2 Q8N4Q0;Q8N4Q0-2"
396,4,0.3430,2.058,32.42,0.04844,0.903035,"P78357 P13612 Q16563-2 Q92673"
397,5,0.3045,3.045,37.26,0.06052,0.981643,"Q99614 Q9NWS0 Q8IVD9 Q9HCN4;Q9HCN4-5;Q9HCN4-4;Q9HCN4-3 P57076"
398,4,0.3698,2.219,17.62,0.07970,0.903035,"Q9Y678 P48444;P48444-2 O94979;O94979-4 Q8N6T3;Q8N6T3-2;Q8N6T3-4"
399,5,0.3052,3.052,77.68,0.03364,0.981643,"O14972;O14972-2 Q96QG7;Q96QG7-2 Q8N122;Q8N122-3 Q9GZT4 P09960;P09960-4;P09960-2;P09960-3"
400,14,0.3093,28.15,68.95,0.2250,0.314649,"Q6NZI2;Q6NZI2-2 P40261 Q05682-5 Q05682 P00533 Q02952;Q02952-3 Q14192 P60903 P02753 P15144 P16144-3 P23229-3;P23229;P23229-5 P47895 Q8WX93-3;Q8WX93;Q8WX93-8;Q8WX93-5;Q8WX93-4;Q8WX93-2;Q8WX93-9"
401,3,0.6476,1.943,0.4978,0.2302,0.0382613,"P68032 P60709 Q562R1"
402,3,0.5956,1.787,0.5439,0.2145,0.0382613,"Q13287 P80217-2;P80217 O14933;O14933-2"
403,5,0.3249,3.249,1.008,0.2279,0.00557971,"Q8N1N4;Q8N1N4-2 Q5T749 Q02413 P05089;P05089-2 Q08554-2;Q08554"
404,3,0.3364,1.009,5.610,0.07997,0.985452,"Q3SXM5;Q3SXM5-2 Q4G176 P22830;P22830-2"
405,4,0.3475,2.085,2.573,0.1647,0.154712,"Q96HY7 Q9H9P8;Q9H9P8-2 Q02252;Q02252-2 Q02338"
406,3,0.3469,1.041,1.485,0.1221,0.0404278,"Q8TEQ6 O60678;O60678-2 Q15785"
407,17,0.2699,36.70,78.98,0.2452,0.256257,"Q6NZI2;Q6NZI2-2 P40261 Q05682-5 Q05682 P00533 Q02952;Q02952-3 Q14192 Q9Y6M1-1;Q9Y6M1;Q9Y6M1-5;Q9Y6M1-3;Q9Y6M1-4 P60903 P02753 Q9P0K7;Q9P0K7-3;Q9P0K7-2 P15144 P16144-3 O14639-6 P12109 Q01995 P23229-3;P23229;P23229-5"
408,3,0.3464,1.039,1.025,0.1289,0.187913,"P07686 P06865 Q92820"
409,3,0.3436,1.031,1.578,0.1197,0.331260,"Q9H5V8;Q9H5V8-2 Q96JQ2 Q9Y666"
410,5,0.3058,3.058,13.40,0.1156,0.851865,"Q15796-2;Q15796 O94915 Q9NRL3;Q9NRL3-3 Q8NBF2 Q9H8S9;Q9H8S9-2"
411,8,0.3295,9.225,48.90,0.1245,0.948219,"Q96CW1 O95782-2;O95782 P63010;P63010-2 Q14203-3;Q14203-4;Q14203-5 Q13561;Q13561-3;Q13561-2 P61163 P53680;P53680-2 Q93034"
412,6,0.3155,4.732,88.70,0.04488,0.989880,"Q9BUE0 Q9NZD8;Q9NZD8-2 Q12979;Q12979-4 Q9H944;Q9H944-2 Q9NUL3-2;Q9NUL3;Q9NUL3-8;Q9NUL3-3;Q9NUL3-6;Q9NUL3-4 Q96AZ6"
413,3,0.3444,1.033,6.840,0.07447,0.904785,"P50225 O14975;O14975-2 P28676"
414,23,0.3005,76.03,231.1,0.2153,0.886535,"Q9Y5J1 Q5QJE6 Q8NI36 Q15269 Q9H8H0 Q9H583 Q15061 Q9UNX4 Q9NQ55-2;Q9NQ55;Q9NQ55-3 Q9H6R4-4;Q9H6R4;Q9H6R4-2;Q9H6R4-3 Q12788 Q8TED0;Q8TED0-3;Q8TED0-2 Q969X6;Q969X6-3;Q969X6-2 Q9NV31 Q9NV06 Q9NYH9 Q8IWA0 Q9UHA3 Q9BQG0;Q9BQG0-2 O75691 Q14690 Q9UMY1;Q9UMY1-2 Q6RFH5;Q6RFH5-2"
415,10,0.3044,13.70,9.957,0.3138,0.000503989,"P11021 O95399;O95399-2 P14625 P27797 P23284 P30101 P13667 Q9Y4L1 P55145 Q9HCN8"
416,18,0.3038,46.49,282.9,0.1272,0.998868,"Q9Y5B9 Q08945 Q14498-2;Q14498;Q14498-3 O95232 Q96HJ9-2;Q9Y383-3 Q8IWX8 Q9UPN6;Q9UPN6-2 Q9BWF3;Q9BWF3-4;Q9BWF3-3;Q9BWF3-2 Q14839;Q14839-2 P51532-3;P51532-4;P51532-5;P51532-2 P84101-4;P84101;P84101-3;P84101-2 O60264 Q9UKN8 P18754;P18754-2 Q92922 Q9H0D6;Q9H0D6-2 Q9UFW8 Q13185"
417,8,0.3045,8.526,41.63,0.1289,0.752582,"Q14181 P09884 O75419-2;O75419;O75419-3 Q9BXW9;Q9BXW9-1;Q9BXW9-3 P61244-2 P49643 Q15004 Q9NVP2"
418,5,0.3029,3.029,77.09,0.03361,0.661948,"Q96DZ1;Q96DZ1-3;Q96DZ1-2 Q9Y587;Q9Y587-3;Q9Y587-4;Q9Y587-2 Q3SXM5;Q3SXM5-2 Q6UW02;Q6UW02-2 P18440"
419,3,0.3412,1.023,2.001,0.1134,0.191367,"Q9Y6E2 Q7Z417 Q96A49"
420,5,0.3144,3.144,119.7,0.02366,0.798302,"Q9NYR9-2;Q9NYR9;Q9NYR9-3 Q92604 O95219;O95219-2 Q8NEW0 O15320-8;O15320-6"
421,5,0.3240,3.240,28.60,0.07743,0.969949,"Q01844-6;Q01844-3;Q01844;Q01844-5;Q01844-2 Q92841;Q92841-1;Q92841-2 Q9BUJ2-2;Q9BUJ2;Q9BUJ2-4;Q9BUJ2-3 Q96EP5;Q96EP5-2 Q15428"
422,17,0.3018,41.05,167.8,0.1691,0.857183,"P25705;P25705-3 P06576 P39656;P39656-3;P39656-2 P04844;P04844-2 P48047 P24539 P56134;P56134-3 P36542 O75390 P53597 Q99714;Q99714-2 P09622;P09622-2;P09622-3 P40616;P40616-2 Q9H2U2;Q9H2U2-2;Q9H2U2-3;Q9H2U2-6 Q16836;Q16836-3;Q16836-2 P49411 Q9HCC0;Q9HCC0-2"
423,4,0.3608,2.165,9.342,0.1110,0.557383,"Q96JB5;Q96JB5-2;Q96JB5-3 O94874;O94874-2;O94874-3 Q96HY6 Q6P996;Q6P996-4;Q6P996-5;Q6P996-3"
424,5,0.3146,3.146,15.66,0.1092,0.735190,"P17612 Q9H0U4 Q15907;P62491-2 P63000 P61006;P61006-2"
425,3,0.5761,1.728,0.000,0.2236,0.0318013,"P06702 P05109 P12259"
426,3,0.5812,1.744,0.000,0.2252,0.0318013,"Q13813-2 Q01082 Q13813"
427,3,0.3649,1.095,0.4952,0.1442,0.0382613,"P67936 P07951-2 P09493-3"
428,7,0.3017,6.336,63.57,0.07551,0.972358,"Q08945 P11387 O60264 P18754;P18754-2 O00267 Q9P258 Q9UFW8"
429,5,0.3189,3.189,21.54,0.09182,0.661948,"Q8TDD1-2 Q99848 Q15397 Q9GZR7 O00566"
430,3,0.3477,1.043,0.000,0.1481,0.0318013,"Q9NQT8 P49137;P49137-2 Q9NR12"
431,5,0.3199,3.199,11.22,0.1310,0.417018,"Q15796-2;Q15796 O43432;O43432-3;O43432-4 P84022;P84022-3 Q96II8;Q96II8-4;Q96II8-2;Q96II8-3 P45985;P45985-2"
432,4,0.3465,2.079,11.52,0.09624,0.667497,"Q00610-2;Q00610 Q9H270 O75165 Q9UHY1"
433,8,0.3003,8.409,29.50,0.1560,0.905369,"P40937;P40937-2 P35249;P35249-2 P35250;P35250-2 P43246 P40938;P40938-2 Q5TBB1;Q5TBB1-2 Q13112 P51003"
434,4,0.3455,2.073,36.87,0.04416,0.764757,"Q5VIR6-4;Q5VIR6;Q5VIR6-3 Q9BTW9 P31749;P31749-2 Q9UGR2;Q9UGR2-2"
435,12,0.3011,19.87,141.8,0.1070,0.943824,"P15498;P15498-2 Q9HBI0;Q9HBI0-2;Q9HBI0-3 P42768 O43516;O43516-3;O43516-2;O43516-4 Q7L591 Q9UBW5 P56377 Q9NRR3 Q12912-2;Q12912 Q99828;Q99828-2 Q9UHQ4 Q5M775;Q5M775-4;Q5M775-2;Q5M775-5;Q5M775-3"
436,5,0.3024,3.024,89.30,0.02955,0.969949,"Q8NFC6 O60934 Q9UKJ3;Q9UKJ3-2 Q96T23;Q96T23-2;Q96T23-3 Q9NVU0;Q9NVU0-4;Q9NVU0-2;Q9NVU0-3"
437,6,0.3150,4.724,15.24,0.1478,0.764415,"Q14694;Q14694-2 Q14157;Q14157-5;Q14157-3 Q9UN86 Q9Y5A9;Q9Y5A9-2 Q6Y7W6;Q6Y7W6-4;Q6Y7W6-5;Q6Y7W6-3 Q4KMP7"
438,6,0.3083,4.624,133.4,0.03082,0.977336,"A6ZKI3 Q8TAF3;Q8TAF3-3;Q8TAF3-4;Q8TAF3-5 Q8IYB7;Q8IYB7-2 Q9BRP4;Q9BRP4-2 P35240-8;P35240-3;P35240;P35240-2;P35240-5;P35240-6 Q9NXJ5;Q9NXJ5-2"
439,7,0.3046,6.396,56.36,0.08333,0.846657,"Q15363 P49755 Q9HB90 Q9NYU2-2;Q9NYU2 Q9NVJ2;Q9NVJ2-2 P49257 Q7L523;Q5VZM2-2"
440,3,0.3404,1.021,0.000,0.1454,0.0318013,"Q03519;Q03519-2 O15533;O15533-3;O15533-2;O15533-4 Q03518"
441,4,0.3396,2.037,11.08,0.09647,0.557383,"P61803 P51571 P43307;P43307-2 P18085"
442,5,0.3062,3.062,12.88,0.1180,0.798302,"Q15796-2;Q15796 O94915 Q8NBF2 P42574 Q9H8S9;Q9H8S9-2"
443,4,0.3341,2.005,30.74,0.04919,0.903035,"Q9NUI1 Q7Z4H8;Q7Z4H8-2;Q7Z4H8-3 Q02127 Q8IWA5;Q8IWA5-2;Q8IWA5-3"
444,4,0.3500,2.100,4.065,0.1483,0.332503,"Q9UL25 P84095 Q6DD88 Q8NHH9;Q8NHH9-5;Q8NHH9-2;Q8NHH9-4;Q8NHH9-3"
445,6,0.3060,4.590,67.04,0.05489,0.913257,"Q9P0S9 O43772 Q8NBX0 Q9UKU7;Q9UKU7-3;Q9UKU7-2 Q9Y6X5 P50238"
446,9,0.3100,11.16,94.80,0.09003,0.986362,"P09467 Q8IV36-2;Q8IV36;Q8IV36-3 Q8N335 O75976;O75976-2 Q8WUI4-3;Q8WUI4-4;Q8WUI4;Q8WUI4-7;Q8WUI4-6;Q8WUI4-5;Q8WUI4-10 Q6NTF9;Q6NTF9-2 P35520;P35520-2 Q68CZ2;Q68CZ2-2 A0MZ66;A0MZ66-3;A0MZ66-6;A0MZ66-4;A0MZ66-5;A0MZ66-8;A0MZ66-2"
447,3,0.3362,1.009,0.5029,0.1343,0.0920193,"Q86VS8 O94973 Q8TD19"
448,10,0.3261,14.68,8.986,0.3361,0.000654712,"P11021 P14625 P27797 P23284 P07237 P30101 P13667 Q9Y4L1 P55145 Q15084-5;Q15084;Q15084-4;Q15084-2"
449,4,0.3423,2.054,41.93,0.03951,0.903035,"Q96JB2;Q96JB2-2 Q9H8Y8;Q9H8Y8-2 Q96M27 Q08379;Q08379-2"
450,5,0.3129,3.129,52.66,0.04756,0.969949,"Q9Y6D0 Q9P0S3 Q6ICB0 Q9BQE4 P28799;P28799-2;P28799-3"
451,3,0.3345,1.004,0.000,0.1433,0.0318013,"P16403 P16402 Q9H1E3;Q9H1E3-2"
452,6,0.3078,4.616,42.68,0.07785,0.810761,"O14776-2;O14776 Q15020;Q15020-4 P42167 P42166 Q92917 Q9NPI6-2;Q9NPI6"
453,4,0.3347,2.008,33.99,0.04564,0.903035,"Q8WUR7;Q8WUR7-2;Q8WUR7-3 O14802 Q9Y2R4 Q01804"
454,5,0.3058,3.058,83.77,0.03158,0.928164,"Q9HBF4;Q9HBF4-3 P24386 Q9Y496 Q9Y2I1;Q9Y2I1-4 O43760-2;O43760"
455,5,0.3034,3.034,19.23,0.09404,0.735190,"P40925-3;P40925;P40925-2 P12955;P12955-3;P12955-2 O95630;O95630-2 Q9BSD7 P34949;P34949-2"
456,64,0.2910,586.7,4100,0.1218,1.00000,"P48553 Q13588 Q8NC44 P62913-2 Q14814-4;Q14814;Q14814-6;Q14814-5;Q14814-3;Q14814-2 Q13905-3;Q13905;Q13905-4;Q13905-2 Q96HR3-2;Q96HR3 Q9P2A4 O75688;O75688-4;O75688-5 Q16774 Q9UPR3 Q92540-2;Q92540;Q92540-4;Q92540-5 Q96BP2 Q8WUH2 Q9P2Y5 Q86VX2-2;Q86VX2 Q9Y5U2-2;Q9Y5U2 Q9UMR2;Q9UMR2-3 Q9BQ48 Q8TAQ2 Q2VPB7 Q9UM13 Q15027 Q9HAN9 Q13951 Q86US8 Q9HB19 P61599 Q8IWT0;Q8IWT0-2 Q86YV9 Q2KHT3 Q7Z3J2;Q7Z3J2-2 Q9P2W9 O94927 Q6ZMI0;Q6ZMI0-2;Q6ZMI0-5;Q6ZMI0-3 Q9P0J7 Q8IX04-6;Q8IX04;Q8IX04-3;Q8IX04-2;Q8IX04-4 Q8TEK3-2;Q8TEK3 Q643R3 Q9Y6Y0 Q68DK2;Q68DK2-2 Q969F9 Q9BV68;Q9BV68-2 Q8IYB7;Q8IYB7-2 P51157;P51157-3 Q5R3I4 Q9HAU5 Q96DM3 P38935 Q5VV42;Q5VV42-2 Q15013;Q15013-3 Q6P158 Q99836;Q99836-6;Q99836-2;Q99836-3 Q9UKZ1 Q96EB1;Q96EB1-3 Q9UL18 O43896 O43314-2;O43314 Q9Y2L9-2;Q9Y2L9;Q9Y2L9-3 P78318 Q8IZH2-2;Q8IZH2 Q14738;Q14738-2;Q14738-3 Q96I15;Q96I15-2 O75592-2;O75592"
457,4,0.3452,2.071,13.34,0.08845,0.843839,"Q9P0K7;Q9P0K7-3;Q9P0K7-2 Q06481;Q06481-3;Q06481-6;Q06481-2;Q06481-4;Q06481-5 P05067;P05067-11;P05067-8;P05067-9;P05067-6;P05067-7;P05067-4;P05067-5;P05067-3;P05067-10 P17252"
458,6,0.3535,5.302,5.694,0.2306,0.0863664,"P60660 P05976-2;P05976 O14950 P35579;P35579-2 Q01518-2 Q7Z406-6;Q7Z406-2;Q7Z406;Q7Z406-4;Q7Z406-5"
459,3,0.3455,1.037,3.094,0.1023,0.808633,"P63218 O15400-2;O15400 P05107"
460,10,0.3063,13.78,47.80,0.1689,0.574974,"P52907 P47756-2 Q9NVA2;Q9NVA2-2 Q16181 Q15019;Q15019-2;Q15019-3 P46109 Q9NYL9 P07737 Q9UHD8 Q9HA64"
461,5,0.3209,3.209,13.30,0.1210,0.661948,"Q14204 Q13409-3;Q13409-6;Q13409-2;Q13409-7;Q13409;Q13409-5 Q9NP97 P46940 Q9Y6G9"
462,15,0.3012,31.63,421.8,0.06543,0.998589,"Q9Y5Y5;Q9Y5Y5-2 O60220 Q8TBP6 Q9Y530 Q9NRP2 Q7KZN9-2;Q7KZN9 Q13889 Q96I51 Q9HAS0 Q15120;Q15120-2 Q99611 Q6PJI9;Q6PJI9-3;Q6PJI9-2 Q8N4P3;Q8N4P3-2 O95059 Q8IXM2;Q8IXM2-3;Q8IXM2-2"
463,4,0.3376,2.026,23.98,0.05956,0.557725,"P52907 O43488 Q15382 Q9UBC2;Q9UBC2-2;Q9UBC2-3;Q9UBC2-4"
464,16,0.3002,36.02,495.0,0.06398,0.997198,"Q70IA6;Q70IA6-3;Q70IA6-2 Q9UBK9 Q96MX6;Q96MX6-2 Q8IWT0;Q8IWT0-2 P0DI82;P0DI81 Q9Y3C0 O43414;O43414-3;O43414-2 Q9NUL5;Q9NUL5-3;Q9NUL5-2;Q9NUL5-4 Q16773;Q16773-2 Q9BVM2 Q9NXA8;Q9NXA8-2;Q9NXA8-3;Q9NXA8-4 Q8TDQ7;Q8TDQ7-2;Q8TDQ7-5;Q8TDQ7-3 P48637;P48637-2 Q6PCB7 Q9NVS9;Q9NVS9-2;Q9NVS9-3;Q9NVS9-4 Q6GYQ0;Q6GYQ0-7;Q6GYQ0-5;Q6GYQ0-6"
465,4,0.3405,2.043,15.16,0.08104,0.156161,"Q8TB72-3;Q8TB72;Q8TB72-2 Q9UG56;Q9UG56-2 Q9Y6E2 Q7Z417"
466,6,0.3025,4.537,24.26,0.1112,0.953652,"P09914;P09914-2 O14879 P20591;P20591-2 Q53GL7 Q8IY21 Q12929;Q12929-2"
467,8,0.3152,8.826,119.3,0.06126,0.994959,"Q9Y4E6-2;Q9Y4E6 Q7L592 Q96I59 Q8IXM6;Q8IXM6-2 Q9NVT9 Q9NVE7 Q96QE5 Q8WVM0"
468,6,0.3149,4.723,14.74,0.1501,0.764415,"Q14694;Q14694-2 Q14157;Q14157-5;Q14157-3 Q9UN86 Q9Y5A9;Q9Y5A9-2 Q6Y7W6;Q6Y7W6-4;Q6Y7W6-5;Q6Y7W6-3 Q5T1M5;Q5T1M5-2"
469,5,0.3039,3.039,27.30,0.07533,0.734565,"P12955;P12955-3;P12955-2 Q9UMY4-2;Q9UMY4;Q9UMY4-3 O95630;O95630-2 P62942 Q6P1N9"
470,6,0.3127,4.690,90.47,0.04377,0.977336,"Q16630-2;Q16630;Q16630-3 P52597 Q92841;Q92841-1;Q92841-2 Q96EP5;Q96EP5-2 Q8WXF1;Q8WXF1-2 O43823"
471,4,0.3377,2.026,12.01,0.09197,0.557383,"Q9P253 Q9H3Z4;Q9H3Z4-2 Q99653 P09543-2;P09543"
472,15,0.2689,28.24,68.36,0.2230,0.266458,"Q6NZI2;Q6NZI2-2 P40261 Q05682-5 Q05682 P00533 Q02952;Q02952-3 Q14192 P60903 P02753 P15144 P16144-3 Q01995 P23229-3;P23229;P23229-5 P35222 P42330"
473,68,0.3001,683.7,1379,0.3109,0.142648,"P47985 Q9P0J0;Q9P0J0-2 P17568 Q9Y6M9 Q16718;Q16718-2 O75489 P19404 Q86Y39;Q86Y39-2 P49821-2;P49821 O95169-3;O95169;O95169-2 Q9BV79;Q9BV79-2 Q99643 O43678;O43678-2 O95139;O95139-2 Q9UI09 O43920 O95298;E9PQ53;O95298-2;O95298-3 O43181 P21912 P51970 O75380 O43676 Q92506 Q8N4T8;Q8N4T8-2 O95167 O75438;O75438-2 Q9P0S9 O00217 O95168;O95168-2 Q99766 P03915 O14521-2;O14521;O14521-4 Q16795 Q9NZJ6 Q9HBL7 O43674;O43674-2 P03886 P56134-2;P56134-4 O96000;O96000-2 O95182 Q8N2U0 Q9Y3B3;Q86XR7-2;Q9Y3B3-2 O75414 O75251;O75251-2 Q16854;Q16854-2;Q16854-3;Q16854-5 Q16134 Q7Z7H5;Q7Z7H5-3 P00846 O14966;O14966-2;O14966-3 Q07817-3;Q07817;Q07817-2 Q9NTG7 O43772 Q8IXI2-3;Q8IXI2-2;Q8IXI2-5;Q8IXI2-7;Q8IXI2 O43464;O43464-3;O43464-2 Q8WUD1;Q8WUD1-2 O96011;O96011-2 Q9Y241;Q9Y241-2 Q8IW45;Q8IW45-2;Q8IW45-4 O14907 Q06136;Q06136-2 Q9NVH6-7;Q9NVH6;Q9NVH6-8;Q9NVH6-5;Q9NVH6-6;Q9NVH6-4 Q16595 Q9BUT1;Q9BUT1-2;Q9BUT1-3 Q9Y259 Q8NBX0 Q9HA77 Q9UKU7;Q9UKU7-3;Q9UKU7-2 Q9BV19"
474,9,0.3005,10.82,110.2,0.07785,0.604459,"P29373 P09467 Q9Y365 Q8IV36-2;Q8IV36;Q8IV36-3 A0AV96-2;A0AV96 P23443-5;P23443;P23443-4;P23443-3;P23443-2 Q9P2M7;Q9P2M7-2 Q96LA8;Q96LA8-2 Q8ND30;Q8ND30-2;Q8ND30-3"
475,5,0.3245,3.245,1.013,0.2276,0.00887506,"Q8N1N4;Q8N1N4-2 Q5T749 Q02413 P05089;P05089-2 Q08499-6;Q08499-9;Q08499-3;Q08499-5;Q08499-8;Q08499-4"
476,17,0.3037,41.31,338.4,0.09984,0.997631,"Q9BT23 Q9H3S4 Q6ZS81;Q6ZS81-4;Q6ZS81-5 Q96PP9 Q9Y5V0 Q8WV92 Q13469-3;Q13469-4;Q13469-2;Q13469;Q13469-5 Q96NY7-2;Q96NY7 P56377 Q9HBM1 Q38SD2 Q9P0R6 Q9NRY4 Q8IVG5 Q9H098-2 P46531 Q8IZQ5"
477,6,0.3103,4.654,39.33,0.08313,0.851447,"Q9NQ55-2;Q9NQ55;Q9NQ55-3 Q8TDD1-2 Q99848 Q9GZR7 Q9Y221;Q9Y221-2 Q8TDN6"
478,28,0.3006,113.6,374.6,0.2088,0.756938,"Q9Y5J1 Q9Y3A2;Q9Y3A2-2 Q5QJE6 Q9H8H0 Q9H583 Q15061 Q9UNX4 O15213 Q8NEJ9-2;Q8NEJ9 Q9NQ55-2;Q9NQ55;Q9NQ55-3 Q8TED0;Q8TED0-3;Q8TED0-2 Q969X6;Q969X6-3;Q969X6-2 Q9NV31 Q9BXY0 Q9NV06 Q9NYH9 Q9GZR2 Q9H0A0;Q9H0A0-2 Q8IWA0 O60287 Q9UHA3 Q9BQG0;Q9BQG0-2 O75691 Q14690 Q9H7B2 Q9UMY1;Q9UMY1-2 Q6RFH5;Q6RFH5-2 O95478"
479,9,0.3094,11.14,113.9,0.07787,0.978923,"Q9Y2Q5;Q9Y2Q5-2 Q9UHA4;Q9UHA4-2 Q6IAA8 Q0VGL1 Q9BUR5;Q9BUR5-2 O60613 Q9BXK5 Q9HAB8;Q9HAB8-2 O60831"
