Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
286,9,0.3044,10.96,44.00,0.1502,0.986362,"O14617-5;O14617;O14617-4;O14617-2;O14617-3 O00203 Q9Y2T2 Q96KP1 Q96A65 Q13131;Q13131-2 O00471 Q9NV70;Q9NV70-2 Q15386"
287,5,0.3123,3.123,18.49,0.09880,0.798302,"Q9UBV2 P48723 Q15904 O75787-2;O75787 Q9NYL4"
288,5,0.3148,3.148,25.30,0.08189,0.735190,"O60613 Q16799 Q15836 O95197-7;O95197-2;O95197;O95197-4 Q68D91"
289,3,0.3467,1.040,6.586,0.07632,0.985452,"Q9UJA5;Q9UJA5-2;Q9UJA5-3;Q9UJA5-4 Q96FX7 Q9NRG9;Q9NRG9-2"
290,4,0.3372,2.023,30.26,0.05023,0.992931,"P13984 P37198 Q2TAL8 Q96RE7"
291,5,0.3115,3.115,29.59,0.07293,0.952654,"Q8N3U4 P61964 O60341;O60341-2 Q15427 Q8N1G2"
292,5,0.3080,3.080,32.56,0.06748,0.996692,"Q9NRR5 P61960;P61960-2 P31939;P31939-2 P26196 Q15046"
293,8,0.3062,8.573,65.79,0.09487,0.990935,"P13804;P13804-2 P45880;P45880-2 P21796 P30048-2;P30048 P40926;P40926-2 P42126;P42126-2 P00367;P00367-2 P31937"
294,4,0.3379,2.027,22.08,0.06314,0.992931,"O43402 Q15771;Q15771-2 Q92544 Q92504"
295,5,0.3240,3.240,48.31,0.05264,0.952654,"P28907 P25774;P25774-2 Q99541 Q6ICB0 P42785;P42785-2"
296,5,0.4217,4.217,14.31,0.1478,0.734565,"Q9NRX1 Q13895 Q9NY93;Q9NY93-2 O00541;O00541-2 Q9UKD2"
297,6,0.3072,4.608,38.36,0.08382,0.998474,"Q96BW5-2;Q96BW5 Q5W0V3;Q5W0V3-2 Q9NRY5 Q15018 Q8NBU5;Q8NBU5-2 Q15118;Q15118-2"
298,7,0.3342,7.018,45.02,0.1063,0.937399,"P52701;P52701-3;P52701-4;P52701-2 P43246 P49005 P28340 Q15054;Q15054-3 P49915;P49915-2 Q9P287;Q9P287-3;Q9P287-4"
299,6,0.3180,4.771,31.12,0.09961,0.977336,"P82933 Q96EY7 O75439 Q92552;Q92552-2 O43615 Q7L0Y3"
300,3,0.5849,1.755,7.564,0.1146,0.985452,"P40306 P28065;P28065-2 P28062"
301,11,0.3044,16.74,99.54,0.1211,0.971563,"Q9NQ55-2;Q9NQ55;Q9NQ55-3 Q9NV31 Q9BYG3 Q96GQ7 Q9Y3T9 Q03701 Q9H7B2 Q15050 O43159 P46087;P46087-4;P46087-2;P46087-3 Q6DKI1;Q6DKI1-2"
302,8,0.3089,8.648,58.77,0.1037,0.999530,"Q9H269;Q9H269-2 Q96AX1 Q10567-2;Q10567 Q9P253 Q9H270 Q13131;Q13131-2 Q96JC1-2;Q96JC1 Q5T2E6"
303,7,0.3179,6.676,32.00,0.1267,0.951651,"Q9BYG3 Q13895 Q9NY93;Q9NY93-2 O00541;O00541-2 Q9BVJ6;Q9BVJ6-3;Q9BVJ6-2 Q9UKD2 P46060"
