CM_01,CM_02,CM_03,CM_04,CM_05,CM_06,CM_07,CM_08,CM_09,CM_10,CM_11,CM_12,CM_13,CM_14,CM_15,CM_16,CM_17,CM_18,CM_19,CM_20,CM_21,CM_22,CM_23,CM_24,CM_25,CM_26,CM_27,CM_28,CM_29,CM_30,CM_31,CM_32,CM_33,CM_34,CM_35,CM_36,CM_37,CM_38,CM_39,CM_40,CM_41,CM_42,CM_43,CM_44,CM_45,CM_46,CM_47,CM_48,CM_49,CM_50,CM_51,CM_52,CM_53,CM_54,CM_55,CM_56,CM_57,CM_58,CM_59,CM_60,CM_61,CM_62,CM_63,CM_64,CM_65,CM_66,CM_67,CM_68,CM_69,CM_70,CM_71,CM_72
,,,,Q9H6S3;Q9H6S3-3,,,,,,,,,,,,,,,Q9NVS2,,,,,Q9NRP0;Q9NRP0-2,,,,O96000;O96000-2,Q9UI09,,,Q9P2Y5,Q96IX5,,,,,,,,,,Q9NQ55-2;Q9NQ55;Q9NQ55-3,,,,Q96T37-4;Q96T37-2;Q96T37-3;Q96T37,,,,Q13151,,,,,,,,P18621;P18621-3;P18621-2,,,,,,Q14566,,,,,,
,,,,Q9UKS6,,,,,,,,,,,,,,,Q9NYK5;Q9NYK5-2,,,,,Q9UKR5,,,,P19404,Q9Y6M9,,,,,,,,,,,,,,Q9NV06,,,,Q9P2I0,,,,Q13838;Q13838-2,,,,,,,,P23396,,,,,,,,,,,,
,,,,Q9Y6M5,,,,,,,,,,,,,,,Q9P015,,,,,Q9Y291,,,,P21912,,,,,,,,,,,,,,,Q9NYH9,,,,,,,,Q15717;Q15717-2,,,,,,,,P25398,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Q9P0M9,,,,,Q9Y5U9,,,,P28331;P28331-2;P28331-4;P28331-5;P28331-3,,,,,,,,,,,,,,,Q9UNX4,,,,,,,,,,,,,,,,P26373;P26373-2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,P49821-2;P49821,,,,,,,,,,,,,,,Q9Y3A2;Q9Y3A2-2,,,,,,,,,,,,,,,,P27635,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16718;Q16718-2,,,,,,,,,,,,,,,Q9Y5J1,,,,,,,,,,,,,,,,P30050;P30050-2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P32969,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q86Y39;Q86Y39-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P35268,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q9HBL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P36578,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P39019,,,,,,,,,,,,
